genome_idx,fitness,active_ratio,com_height,symmetry
0,45.2443,0.646112600536193,0.5047874377633091,0.19921875
1,45.2443,0.6487935656836461,0.5047874377633091,0.203125
2,45.2443,0.6487935656836461,0.5047874377633091,0.203125
3,45.2443,0.6434316353887399,0.5047874377633091,0.19921875
4,45.2443,0.6524064171122995,0.5042016806722689,0.203125
5,45.2443,0.6506666666666666,0.5066666666666667,0.20703125
6,45.2443,0.6657608695652174,0.5058229813664596,0.2109375
7,45.2443,0.6453333333333333,0.5036190476190476,0.19921875
8,45.2443,0.6442048517520216,0.5021178282633808,0.20703125
9,45.2443,0.646112600536193,0.5047874377633091,0.203125
