score
0.65049
1.53084
0.698749
1.30234
1.45522
0.919666
2.41087
2.98539
4.30022
3.42887
4.43653
1.03567
3.58483
2.58878
0.690787
0.572356
2.29178
3.24782
4.17599
1.0138
3.10196
2.80873
2.31656
0.978197
1.0147
1.52771
1.35953
3.05935
4.0292
2.5521
1.10417
1.01649
1.87129
3.27728
0.122336
1.9273
5.01259
5.44728
1.9351
2.49345
2.45593
2.78224
1.31137
2.36518
3.3393
2.0305
3.63427
1.56742
6.45308
1.81981
1.64174
1.06487
1.70675
1.27056
0.95594
2.73316
7.92106
1.35641
2.14219
2.81015
1.8562
3.34508
0.895261
1.46068
5.57036
0.501838
3.03873
1.85606
1.47106
0.907826
4.44869
2.7267
0.949011
0.475017
1.74593
1.0017
4.71599
6.90666
2.38942
0.202057
2.45275
5.4884
3.28647
0.763392
3.01648
2.48458
5.00918
1.39928
3.45793
4.56584
1.89219
2.90417
2.34594
2.66187
2.33792
1.78917
1.48704
0.68286
6.56804
2.82014
1.89228
1.42549
3.00533
1.34919
3.09279
7.2165
1.09727
2.39557
1.23444
1.38727
1.12784
1.57478
4.01896
4.09604
1.45748
2.4059
2.50841
2.90625
1.99087
2.00551
0.695354
9.99897
4.1583
3.7929
3.65454
2.0166
1.71842
3.66877
4.31642
1.21993
1.66159
0.588053
1.79721
4.22971
1.14958
4.53121
5.68945
3.33398
2.19517
2.40168
1.66994
4.35989
1.22132
0.750503
1.84842
4.28968
6.4612
3.14407
3.42933
1.55434
1.9437
1.00762
2.98782
0.969573
2.18849
0.917489
0.816203
2.97253
2.04531
0.750055
1.99858
4.92937
1.5346
0.402831
3.90555
4.78803
0.480866
2.44199
2.37788
1.50969
1.59295
4.00521
4.0896
5.87992
0.358441
3.80187
1.29045
1.28069
4.02827
4.85337
4.36079
4.64695
0.74043
8.39147
6.52722
5.89496
0.99303
1.253
2.23814
0.686188
2.10176
2.86816
2.1162
1.67375
0.710579
3.20996
8.1232
1.13832
2.89334
1.71439
